INFO  - 2014-06-12 17:11:32.432; org.apache.solr.core.SolrResourceLoader; Adding 'file:/u/data/u88/du25/summer_research/solr-4.8.1/contrib/extraction/lib/fontbox-1.8.4.jar' to classloader
INFO  - 2014-06-12 17:11:32.433; org.apache.solr.core.SolrResourceLoader; Adding 'file:/u/data/u88/du25/summer_research/solr-4.8.1/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2014-06-12 17:11:32.433; org.apache.solr.core.SolrResourceLoader; Adding 'file:/u/data/u88/du25/summer_research/solr-4.8.1/contrib/extraction/lib/xmpcore-5.1.2.jar' to classloader
INFO  - 2014-06-12 17:11:32.434; org.apache.solr.core.SolrResourceLoader; Adding 'file:/u/data/u88/du25/summer_research/solr-4.8.1/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2014-06-12 17:11:32.435; org.apache.solr.core.SolrResourceLoader; Adding 'file:/u/data/u88/du25/summer_research/solr-4.8.1/contrib/extraction/lib/netcdf-4.2-min.jar' to classloader
INFO  - 2014-06-12 17:11:32.435; org.apache.solr.core.SolrResourceLoader; Adding 'file:/u/data/u88/du25/summer_research/solr-4.8.1/contrib/extraction/lib/commons-compress-1.7.jar' to classloader
INFO  - 2014-06-12 17:11:32.436; org.apache.solr.core.SolrResourceLoader; Adding 'file:/u/data/u88/du25/summer_research/solr-4.8.1/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2014-06-12 17:11:32.436; org.apache.solr.core.SolrResourceLoader; Adding 'file:/u/data/u88/du25/summer_research/solr-4.8.1/contrib/extraction/lib/poi-ooxml-schemas-3.10-beta2.jar' to classloader
INFO  - 2014-06-12 17:11:32.437; org.apache.solr.core.SolrResourceLoader; Adding 'file:/u/data/u88/du25/summer_research/solr-4.8.1/contrib/extraction/lib/aspectjrt-1.6.11.jar' to classloader
INFO  - 2014-06-12 17:11:32.437; org.apache.solr.core.SolrResourceLoader; Adding 'file:/u/data/u88/du25/summer_research/solr-4.8.1/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2014-06-12 17:11:32.438; org.apache.solr.core.SolrResourceLoader; Adding 'file:/u/data/u88/du25/summer_research/solr-4.8.1/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2014-06-12 17:11:32.438; org.apache.solr.core.SolrResourceLoader; Adding 'file:/u/data/u88/du25/summer_research/solr-4.8.1/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
INFO  - 2014-06-12 17:11:32.439; org.apache.solr.core.SolrResourceLoader; Adding 'file:/u/data/u88/du25/summer_research/solr-4.8.1/contrib/extraction/lib/tika-core-1.5.jar' to classloader
INFO  - 2014-06-12 17:11:32.439; org.apache.solr.core.SolrResourceLoader; Adding 'file:/u/data/u88/du25/summer_research/solr-4.8.1/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2014-06-12 17:11:32.440; org.apache.solr.core.SolrResourceLoader; Adding 'file:/u/data/u88/du25/summer_research/solr-4.8.1/contrib/extraction/lib/xz-1.2.jar' to classloader
INFO  - 2014-06-12 17:11:32.440; org.apache.solr.core.SolrResourceLoader; Adding 'file:/u/data/u88/du25/summer_research/solr-4.8.1/contrib/extraction/lib/tika-xmp-1.5.jar' to classloader
INFO  - 2014-06-12 17:11:32.441; org.apache.solr.core.SolrResourceLoader; Adding 'file:/u/data/u88/du25/summer_research/solr-4.8.1/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2014-06-12 17:11:32.441; org.apache.solr.core.SolrResourceLoader; Adding 'file:/u/data/u88/du25/summer_research/solr-4.8.1/contrib/extraction/lib/icu4j-53.1.jar' to classloader
INFO  - 2014-06-12 17:11:32.442; org.apache.solr.core.SolrResourceLoader; Adding 'file:/u/data/u88/du25/summer_research/solr-4.8.1/contrib/extraction/lib/poi-ooxml-3.10-beta2.jar' to classloader
INFO  - 2014-06-12 17:11:32.442; org.apache.solr.core.SolrResourceLoader; Adding 'file:/u/data/u88/du25/summer_research/solr-4.8.1/contrib/extraction/lib/poi-3.10-beta2.jar' to classloader
INFO  - 2014-06-12 17:11:32.443; org.apache.solr.core.SolrResourceLoader; Adding 'file:/u/data/u88/du25/summer_research/solr-4.8.1/contrib/extraction/lib/tika-parsers-1.5.jar' to classloader
INFO  - 2014-06-12 17:11:32.443; org.apache.solr.core.SolrResourceLoader; Adding 'file:/u/data/u88/du25/summer_research/solr-4.8.1/contrib/extraction/lib/pdfbox-1.8.4.jar' to classloader
INFO  - 2014-06-12 17:11:32.444; org.apache.solr.core.SolrResourceLoader; Adding 'file:/u/data/u88/du25/summer_research/solr-4.8.1/contrib/extraction/lib/poi-scratchpad-3.10-beta2.jar' to classloader
INFO  - 2014-06-12 17:11:32.446; org.apache.solr.core.SolrResourceLoader; Adding 'file:/u/data/u88/du25/summer_research/solr-4.8.1/dist/solr-cell-4.8.1.jar' to classloader
INFO  - 2014-06-12 17:11:32.448; org.apache.solr.core.SolrResourceLoader; Adding 'file:/u/data/u88/du25/summer_research/solr-4.8.1/contrib/clustering/lib/jackson-mapper-asl-1.9.13.jar' to classloader
INFO  - 2014-06-12 17:11:32.449; org.apache.solr.core.SolrResourceLoader; Adding 'file:/u/data/u88/du25/summer_research/solr-4.8.1/contrib/clustering/lib/carrot2-mini-3.9.0.jar' to classloader
INFO  - 2014-06-12 17:11:32.449; org.apache.solr.core.SolrResourceLoader; Adding 'file:/u/data/u88/du25/summer_research/solr-4.8.1/contrib/clustering/lib/jackson-core-asl-1.9.13.jar' to classloader
INFO  - 2014-06-12 17:11:32.450; org.apache.solr.core.SolrResourceLoader; Adding 'file:/u/data/u88/du25/summer_research/solr-4.8.1/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2014-06-12 17:11:32.450; org.apache.solr.core.SolrResourceLoader; Adding 'file:/u/data/u88/du25/summer_research/solr-4.8.1/contrib/clustering/lib/attributes-binder-1.2.1.jar' to classloader
INFO  - 2014-06-12 17:11:32.451; org.apache.solr.core.SolrResourceLoader; Adding 'file:/u/data/u88/du25/summer_research/solr-4.8.1/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2014-06-12 17:11:32.451; org.apache.solr.core.SolrResourceLoader; Adding 'file:/u/data/u88/du25/summer_research/solr-4.8.1/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2014-06-12 17:11:32.452; org.apache.solr.core.SolrResourceLoader; Adding 'file:/u/data/u88/du25/summer_research/solr-4.8.1/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2014-06-12 17:11:32.453; org.apache.solr.core.SolrResourceLoader; Adding 'file:/u/data/u88/du25/summer_research/solr-4.8.1/dist/solr-clustering-4.8.1.jar' to classloader
INFO  - 2014-06-12 17:11:32.455; org.apache.solr.core.SolrResourceLoader; Adding 'file:/u/data/u88/du25/summer_research/solr-4.8.1/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
